,,1%,5%,25%,50%,75%,95%
GMB389-1,,0.8298508,0.6434018,0.3353047,0.1631136,0.06322994,0.01062633
,,0.7860411,0.6389266,0.3329922,0.1627189,0.0630407,0.01039666
GMB389-2,,0.8611031,0.6914076,0.4095878,0.2094834,0.08147378,0.01311403
,,,,,,,
GMB390-1,,0.7224232,0.547195,0.3030732,0.1584714,0.06681722,0.01182953
,,0.9190611,0.7508045,0.4653031,0.2950087,0.1071604,0.01528288
GMB390-2,,0.6956097,0.5234557,0.2756413,0.139953,0.0577252,0.009661241
,,,,,,,
GMB399-1,,1.000000,0.8781031,0.5506639,0.3104188,0.1272522,0.0207568
,,,,,,,
,,,,,,,
,,,,,,,
GMB489-4,,0.8543749,0.6995647,0.4063519,0.1897277,0.06665503,0.008117425
,,,,,,,
GMB784-1,,0.5196154,0.8259152,0.5292203,0.2672676,0.09700321,0.01384364
,,0.831975,0.6898696,0.2587491,0.1167402,0.04373349,0.007549049
GMB784-2,,0.8120821,0.8416278,0.4028079,0.1796971,0.04838948,0.006275996
,,0.8120821,0.8416278,0.4028079,0.1796971,0.04838948,0.006275996
