,,1%,5%,25%,50%,75%,95%
GMB195-5,,,,,,,
,,0.2102882,0.1658572,0.09929412,0.04761356,0.01741627,0.002322447
GMB195-6,,0.2745394,0.2173019,0.1200237,0.06226864,0.02583261,0.003816876
,,0.2470616,0.1800287,0.07792772,0.03423914,0.01274938,0.002261231
GMB195-7,,,,,,,
,,0.2010751,0.1549721,0.0796789,0.03909132,0.01630181,0.002867001
GMB328-1,,,,,,,
,,0.3617578,0.191218,0.05856382,0.02653086,0.01083334,0.001598649
GMB499-1,,0.2279078,0.1784861,0.08837306,0.04220376,0.01625457,0.002428739
,,0.1834908,0.1331378,0.0669242,0.0340444,0.01445515,0.002601711
