,,1%,5%,25%,50%,75%,95%
GM114-3,,0.0456834,0.03322821,0.01589788,0.006940898,0.002951116,0.000702401
,,,,,,,
GM114-4,,0.05186457,0.03350091,0.01259719,0.006099946,0.002604405,0.000247646
,,0.0337011,0.0242783,0.01183945,0.006028228,0.002121243,0.000406956
GM120-1,,0.08510909,0.05603287,0.02011474,0.007644414,0.002638187,0.000414536
,,0.05096468,0.03506218,0.01364482,0.005460736,0.001968868,0.000251866
GM120-2,,0.04361026,0.02851148,0.01209412,0.005513886,0.002107605,0.000349785
,,0.0543503,0.03585376,0.01652767,0.008055289,0.003586675,0.000618525
GM124-3,,0.0380007,0.02552449,0.01045103,0.004772139,0.001790258,0.000312124
,,0.05253357,0.03497649,0.01534205,0.006991181,0.003120147,0.00033037
GM124-5,,0.0506321,0.03463829,0.01604104,0.008214727,0.003548066,0.000808386
,,0.03656324,0.0245825,0.01209417,0.005459241,0.002633255,0.00033767
GM130-2,,0.02308826,0.01541472,0.006229649,0.003495904,0.001562773,0.000320224
,,0.01911609,0.01341394,0.00632396,0.003330793,0.00128835,0.00018852
GM186-2,,0.0529435,0.03184132,0.01002908,0.00472085,0.001851656,0.000467091
,,0.03462856,0.02515549,0.01268721,0.006688437,0.003175317,0.000401983
GM186-3,,0.02298329,0.01519003,0.007349319,0.003783719,0.001414601,0.000437525
,,0.04775218,0.0329783,0.01608587,0.007436303,0.003126964,0.000530314
GM186-5,,0.0182128,0.0116703,0.00512513,0.00269174,0.00118559,0.000333149
,,0.01783676,0.01156016,0.005716531,0.002802763,0.001122619,0.00013505
GM262-6,,0.0263513,0.01813027,0.008421694,0.00417415,0.001621452,0.00030204
,,0.02405244,0.01673365,0.008677687,0.00428357,0.001805399,0.000289983
GM298-3,,0.05158086,0.03313623,0.01437722,0.007322317,0.002650483,0.000441461
,,0.02609972,0.01896337,0.009447465,0.004957788,0.002106327,0.000373175
GM512-1,,0.01768091,0.01251808,0.005803535,0.002890649,0.000816755,0.0000924642
