,,1%,5%,25%,50%,75%,95%
GMB377-2,,0.8186644,0.6312175,0.3460905,0.1809662,0.06864827,0.01045666
,,0.844833,0.6330165,0.4003635,0.2074428,0.08055771,0.0125142
GMB377-3,,,,,,,
,,0.9511854,0.7899823,0.4852104,0.2762335,0.1208994,0.02104231
GMB389-4,,0.9104267,0.7974656,0.5268182,0.3354515,0.1307148,0.02166608
,,0.857817,0.6922938,0.5272255,0.2438742,0.1063236,0.01853355
GMB389-5,,0.8933112,0.7656404,0.4640935,0.2547818,0.1021019,0.01579442
,,0.8975312,0.7662951,0.5070141,0.2693326,0.1110294,0.01707382
GMB389-6,,,,,,,
,,0.435250,0.7770817,0.5687586,0.3306412,0.1386657,0.02423726
GMB390-5,,0.7527891,0.6508252,0.3024214,0.1459341,0.05259542,0.007215673
,,0.7716177,0.5096224,0.1939636,0.08977024,0.03186315,0.003535324
GMB774-2,,1.150880,0.868041,0.4906197,0.2860447,0.1283121,0.02233871
,,0.7039288,0.5551719,0.2931393,0.1386396,0.05075318,0.006228673
GMB774-4,,0.8601924,0.8413157,0.4729674,0.2278036,0.08205628,0.01307028
,,0.8787396,0.672201,0.3835946,0.201854,0.08006005,0.0115428
GMB805-2,,1.010106,0.8179603,0.3658109,0.1464033,0.05543291,0.009520974
,,0.8403596,0.7677368,0.3130394,0.1296449,0.0416506,0.00466647
