,,1%,5%,25%,50%,75%,95%
GM128-7,,0.01662264,0.01078475,0.005502739,0.002690051,0.00119511,0.000133611
,,0.01487135,0.01058945,0.005102741,0.002433223,0.001271454,0.000157195
GM128-8,,0.02517072,0.01704414,0.006720368,0.003233774,0.001455277,0.000109033
,,0.06368084,0.0421372,0.01971282,0.009560078,0.004230273,0.000563695
GM186-2,,0.052090,0.031328,0.009867401,0.004644746,0.001821806,0.000459561
,,0.03407031,0.02474996,0.01248267,0.006580613,0.003124128,0.000395502
GM186-5,,0.01821502,0.01140973,0.00538324,0.002274271,0.000863906,0.000192382
,,0.01754772,0.01183093,0.005329939,0.002628969,0.001294921,0.00035664
GM263-1,,0.06296261,0.04279334,0.01557606,0.005808635,0.001794776,0.000239917
,,0.0358038,0.02257622,0.008071184,0.004149389,0.001666543,0.000236795
GM263-2,,0.02787668,0.01703701,0.005798973,0.002919841,0.000946608,0.000249891
,,,,,,,
GM263-3,,0.01323913,0.008727922,0.003869274,0.001818622,0.00089781,0.0000452193
,,0.02397815,0.0165163,0.007451273,0.003717214,0.001210337,0.000192574
GM267-2,,0.01965114,0.01356677,0.006789818,0.003877171,0.001628769,0.000342539
,,0.01524874,0.01004301,0.005024359,0.002273561,0.001248318,0.000254724
GM284-5,,0.01152957,0.007979782,0.004035537,0.001923076,0.000972807,0.0000189691
,,0.01110438,0.007830117,0.003781875,0.002275581,0.000804938,0.000215
GM284-6,,,,,,,
,,0.02052128,0.0140789,0.007040058,0.003360263,0.001648888,0.00020511
