7,15,90
16,25,73
18,18,76
33,27,75
37,20,58
39,19,74
48,15,61
59,9,62
83,10,39
88,5,NaN
89,4,NaN
90,4,NaN
92,3,NaN
94,2,NaN
96,2,NaN
