8,76,93,NaN
9,80,97,NaN
18,75,89,NaN
23,58,81,NaN
37,42,69,NaN
52,30,57,NaN
60,28,49,NaN
61,26,52,NaN
71,23,39,NaN
76,NaN,NaN,18
80,NaN,NaN,12
81,NaN,NaN,13
90,NaN,NaN,4
96,NaN,NaN,2
